Index,Y_Value
3106,385.7524108886719
1074,354.29510498046875
4001,273.6785888671875
787,311.47027587890625
2605,394.5175476074219
3630,363.9181823730469
2121,338.2804870605469
1874,381.4627380371094
811,371.2820739746094
387,289.85052490234375
2882,297.9579162597656
1175,320.02093505859375
3197,365.6197204589844
2623,395.0323181152344
1351,351.6212158203125
410,364.1612854003906
4212,403.74029541015625
109,374.2561950683594
4995,307.46661376953125
3429,381.07672119140625
2809,356.0824279785156
2594,288.7923889160156
2836,344.7292175292969
2372,346.90264892578125
1235,371.75390625
2146,343.6139221191406
4975,384.67999267578125
599,317.76171875
1434,369.0371398925781
4996,345.32977294921875
538,324.03887939453125
721,395.4755859375
4410,371.4822082519531
1872,327.6421813964844
2845,382.5924072265625
2053,345.1439208984375
2907,372.5117492675781
2254,358.0842590332031
3912,390.2136535644531
177,310.6552429199219
2890,348.9330749511719
3673,374.22760009765625
80,378.87469482421875
2561,287.74859619140625
1723,290.9658203125
1617,373.240966796875
1654,345.286865234375
2328,326.72705078125
4613,373.5555419921875
221,312.8715515136719
93,305.26458740234375
2609,349.5908203125
3382,341.0115661621094
4415,392.5586242675781
1397,339.3385925292969
4686,321.19342041015625
1292,372.4688720703125
2164,375.3143005371094
2939,378.0310363769531
3668,271.19061279296875
812,370.9532165527344
1258,371.3392333984375
889,348.5898742675781
1451,383.9651184082031
3316,389.0411376953125
2559,363.646484375
3574,372.1971740722656
2680,310.08331298828125
4651,357.55523681640625
4811,373.6413269042969
4679,382.06329345703125
2964,381.8059387207031
2672,299.7881774902344
561,375.71466064453125
2778,279.48388671875
2948,356.7402038574219
2817,379.3179626464844
2758,372.02557373046875
1756,378.073974609375
724,316.4891662597656
219,335.0203552246094
4139,369.39459228515625
3957,298.8158874511719
1588,379.68975830078125
3347,334.1195373535156
3970,383.464599609375
4707,385.6952209472656
43,338.56646728515625
3001,390.642578125
210,323.39544677734375
677,353.6945495605469
354,365.8485107421875
1433,330.1445007324219
949,354.2807922363281
2843,309.8402099609375
577,287.5769958496094
3928,329.62969970703125
544,368.3936767578125
367,396.89117431640625
1612,288.8495788574219
3550,358.684814453125
