File,N_1-1,E_1-1,N_1-2,E_1-2,N_1-3,E_1-3,N_1-4,E_1-4,N_1-5,E_1-5,N_2-2,E_2-2,N_2-3,E_2-3,N_2-4,E_2-4,N_2-5,E_2-5,N_3-3,E_3-3,N_3-4,E_3-4,N_3-5,E_3-5,N_4-4,E_4-4,N_4-5,E_4-5,N_5-5,E_5-5,File_Index,Index,Y_Actual,Y_Predict,Structure
dump_140.csv,245.0,-3.607769693877551,411.0,-3.689290097323602,473.0,-4.02792221987315,437.0,-3.861898295194508,445.0,-4.032881808988765,365.0,-3.782709232876712,605.0,-4.10654341322314,560.0,-3.947959517857144,580.0,-4.113805646551724,945.0,-4.439047677248677,1192.0,-4.290554714765101,1244.0,-4.439765888263666,460.0,-4.131880358695652,691.0,-4.29637490593343,595.0,-4.445687327731092,140,3698,185.8544311523437,186.20755,dump_140.lammpstraj
dump_141.csv,91.0,-3.632041098901099,199.0,-3.714785577889448,259.0,-4.058598764478764,236.0,-3.896758686440678,256.0,-4.06320419921875,206.0,-3.795339854368932,421.0,-4.122670950118764,377.0,-3.968522957559682,419.0,-4.126169212410502,940.0,-4.466156622340425,1179.0,-4.3189578922815945,1297.0,-4.461886765612953,439.0,-4.16179742596811,697.0,-4.322270028694405,928.0,-4.465732483836207,141,3821,190.1793670654297,190.47206,dump_141.lammpstraj
dump_142.csv,120.0,-3.6389688333333337,263.0,-3.717184486692015,304.0,-4.059098733552632,268.0,-3.894634832089552,297.0,-4.063679646464647,361.0,-3.8087890304709138,619.0,-4.129957342487884,577.0,-3.973852097053726,616.0,-4.133526842532468,856.0,-4.462879182242991,1098.0,-4.315098483606557,1173.0,-4.46267305200341,421.0,-4.154975296912114,680.0,-4.318562632352941,833.0,-4.46638206482593,142,4878,188.0936584472656,187.96265,dump_142.lammpstraj
dump_143.csv,111.0,-3.625664189189189,192.0,-3.705971875,278.0,-4.051836618705036,247.0,-3.895712712550608,274.0,-4.054925766423358,153.0,-3.786632908496732,348.0,-4.118076709770115,304.0,-3.963775822368421,351.0,-4.1202915527065525,956.0,-4.4648167730125525,1209.0,-4.316853093465674,1330.0,-4.4591402293233084,470.0,-4.163029180851064,720.0,-4.320366833333333,928.0,-4.459981212284483,143,3899,190.76022338867188,190.58359,dump_143.lammpstraj
dump_144.csv,90.0,-3.6339111111111113,193.0,-3.716344663212435,264.0,-4.0560672916666665,245.0,-3.895537020408163,264.0,-4.062596761363636,192.0,-3.794126953125,399.0,-4.121478295739348,358.0,-3.96720625698324,398.0,-4.124452826633165,978.0,-4.467717351738241,1224.0,-4.321253472222222,1348.0,-4.462785077893175,457.0,-4.163575525164114,714.0,-4.32152918767507,890.0,-4.462487157303371,144,4487,190.1382598876953,190.61633,dump_144.lammpstraj
dump_145.csv,109.0,-3.6363899082568807,270.0,-3.727772185185185,293.0,-4.06173337883959,287.0,-3.897309721254356,266.0,-4.073138721804511,530.0,-3.8117012735849056,789.0,-4.139199980988593,755.0,-3.9781100794701993,741.0,-4.14825697705803,896.0,-4.472130524553571,1192.0,-4.318252378355704,1179.0,-4.472663095843936,541.0,-4.154192134935306,776.0,-4.326003298969072,539.0,-4.480588497217069,145,3238,187.69061279296875,187.71417,dump_145.lammpstraj
dump_146.csv,423.0,-3.580944976359338,633.0,-3.666185829383888,675.0,-3.9994212222222223,655.0,-3.8280145038167936,586.0,-4.016204752559727,499.0,-3.766392715430862,735.0,-4.089075537414966,706.0,-3.921438852691218,649.0,-4.10275312788906,793.0,-4.417859596469105,1043.0,-4.25846307286673,945.0,-4.424304391534391,553.0,-4.088848037974683,710.0,-4.271226549295775,386.0,-4.435802163212435,146,2974,180.1735382080078,180.23456,dump_146.lammpstraj
dump_147.csv,142.0,-3.632768204225352,241.0,-3.7124995850622406,343.0,-4.0494272886297376,311.0,-3.888378167202572,338.0,-4.052693905325444,197.0,-3.796982233502538,397.0,-4.117445944584383,355.0,-3.960268845070423,398.0,-4.121413768844221,929.0,-4.456288175457481,1149.0,-4.308411727589208,1272.0,-4.4532626493710685,461.0,-4.14559514099783,718.0,-4.30990819637883,891.0,-4.454199601571268,147,3580,188.9729156494141,189.00351,dump_147.lammpstraj
dump_148.csv,344.0,-3.603078343023256,564.0,-3.688577535460993,570.0,-4.01749852631579,529.0,-3.841162542533081,537.0,-4.031551219739293,680.0,-3.795293551470588,977.0,-4.110474252814739,916.0,-3.940878029475983,927.0,-4.122576688241639,662.0,-4.42822078549849,889.0,-4.269279904386951,873.0,-4.433483997709049,431.0,-4.099975034802784,628.0,-4.278409355095541,477.0,-4.4417832914046125,148,2887,180.3631591796875,180.30965,dump_148.lammpstraj
dump_149.csv,145.0,-3.634182517241379,268.0,-3.724805167910448,328.0,-4.073549908536585,349.0,-3.895489971346705,358.0,-4.069974469273743,197.0,-3.8118025888324873,390.0,-4.143203730769231,422.0,-3.9703513981042655,425.0,-4.139381223529412,524.0,-4.485251965648855,772.0,-4.323859663212435,778.0,-4.479631953727506,810.0,-4.15172925925926,1129.0,-4.322819672276351,919.0,-4.478119874863983,149,2575,182.92124938964844,183.11432,dump_149.lammpstraj
