File,Pair,Count,Mean_Energy
dump_10.csv,2-3,414,-4.121153369565217
dump_10.csv,2-4,393,-3.9615072519083974
dump_10.csv,2-5,417,-4.120253393285371
dump_10.csv,3-3,870,-4.465216959770115
dump_10.csv,3-4,1099,-4.316027561419473
dump_10.csv,3-5,1197,-4.460817969924812
dump_10.csv,4-4,498,-4.15254422690763
dump_10.csv,4-5,749,-4.3140533177570095
dump_10.csv,5-5,930,-4.459244946236559
dump_11.csv,1-1,115,-3.6285594347826087
dump_11.csv,1-2,209,-3.709005023923445
dump_11.csv,1-3,295,-4.056556322033899
dump_11.csv,1-4,272,-3.8986088786764705
dump_11.csv,1-5,293,-4.0604264846416385
dump_11.csv,2-2,197,-3.788742614213198
dump_11.csv,2-3,412,-4.121012075242718
dump_11.csv,2-4,383,-3.9678048041775456
dump_11.csv,2-5,411,-4.123857834549878
dump_11.csv,3-3,921,-4.462022491856677
dump_11.csv,3-4,1170,-4.317168854700855
dump_11.csv,3-5,1283,-4.458610565081839
dump_11.csv,4-4,461,-4.163065672451193
dump_11.csv,4-5,719,-4.318121731571628
dump_11.csv,5-5,905,-4.460131337016575
dump_12.csv,1-1,51,-3.6577347058823526
dump_12.csv,1-2,163,-3.7327717791411046
dump_12.csv,1-3,200,-4.07399175
dump_12.csv,1-4,188,-3.9166877393617026
dump_12.csv,1-5,201,-4.076295
dump_12.csv,2-2,291,-3.806874243986254
dump_12.csv,2-3,531,-4.134932956685499
dump_12.csv,2-4,491,-3.9814962525458246
dump_12.csv,2-5,528,-4.137508996212121
dump_12.csv,3-3,989,-4.476709337714864
dump_12.csv,3-4,1265,-4.329232557312253
dump_12.csv,3-5,1366,-4.47309418374817
dump_12.csv,4-4,471,-4.171934479830149
dump_12.csv,4-5,721,-4.331785665742025
dump_12.csv,5-5,804,-4.473363451492538
dump_13.csv,1-1,80,-3.6414391875
dump_13.csv,1-2,180,-3.723507888888889
dump_13.csv,1-3,262,-4.067002748091603
dump_13.csv,1-4,234,-3.9037783119658123
dump_13.csv,1-5,261,-4.066854559386973
dump_13.csv,2-2,160,-3.7930932499999996
dump_13.csv,2-3,364,-4.122758228021978
dump_13.csv,2-4,333,-3.9691192342342343
dump_13.csv,2-5,366,-4.122560983606558
dump_13.csv,3-3,942,-4.468111926751592
dump_13.csv,3-4,1194,-4.321061302345059
dump_13.csv,3-5,1302,-4.463465702764977
dump_13.csv,4-4,487,-4.1626659342915815
dump_13.csv,4-5,746,-4.3205628351206435
dump_13.csv,5-5,942,-4.463796884288747
dump_14.csv,1-1,123,-3.6371746747967477
dump_14.csv,1-2,224,-3.7123532142857143
dump_14.csv,1-3,311,-4.051447620578778
dump_14.csv,1-4,287,-3.888977648083624
dump_14.csv,1-5,312,-4.054069326923076
dump_14.csv,2-2,190,-3.788343368421053
dump_14.csv,2-3,402,-4.118769054726368
dump_14.csv,2-4,356,-3.9619993398876403
dump_14.csv,2-5,395,-4.119390898734178
dump_14.csv,3-3,990,-4.459192787878788
dump_14.csv,3-4,1235,-4.312185623481781
dump_14.csv,3-5,1343,-4.4563719583023085
dump_14.csv,4-4,472,-4.155704375
dump_14.csv,4-5,707,-4.313689561527581
dump_14.csv,5-5,847,-4.4583265643447465
dump_15.csv,1-1,186,-3.616373172043011
dump_15.csv,1-2,314,-3.6993839490445857
dump_15.csv,1-3,408,-4.037036642156862
dump_15.csv,1-4,367,-3.8726313896457767
dump_15.csv,1-5,402,-4.041516517412935
dump_15.csv,2-2,236,-3.7823221822033894
dump_15.csv,2-3,453,-4.105424735099338
dump_15.csv,2-4,399,-3.9499365413533836
dump_15.csv,2-5,447,-4.110315391498881
dump_15.csv,3-3,940,-4.44240729787234
dump_15.csv,3-4,1147,-4.294416233653008
dump_15.csv,3-5,1282,-4.4416924843993755
dump_15.csv,4-4,407,-4.134561609336609
dump_15.csv,4-5,634,-4.297106624605679
